user,item
27968,1086
27968,8784
27968,1193
27968,3949
27968,1265
27968,5954
27968,3435
27968,1208
27968,260
27968,933
67764,5378
67764,593
67764,5219
67764,2916
67764,2571
67764,7387
67764,1214
67764,33493
67764,6754
67764,3300
2581,778
2581,5679
2581,5989
2581,7254
2581,7361
2581,2329
2581,4226
2581,593
2581,296
2581,2571
82969,1213
82969,55765
82969,69122
82969,4011
82969,593
82969,4351
82969,58559
82969,296
82969,2028
82969,2959
137831,49272
137831,54286
137831,68157
137831,80463
137831,97304
137831,1210
137831,356
137831,68358
137831,81845
137831,88125
48639,380
48639,457
48639,4963
48639,1197
48639,150
48639,1080
48639,589
48639,2571
48639,2716
48639,6539
97870,7022
97870,4878
97870,2762
97870,1208
97870,52281
97870,7361
97870,1136
97870,47
97870,1270
97870,733
40424,593
40424,1961
40424,2324
40424,2571
40424,2028
40424,1210
40424,62
40424,260
40424,5952
40424,150
46835,7373
46835,33794
46835,293
46835,6537
46835,110
46835,1198
46835,2716
46835,593
46835,56757
46835,5956
79570,8807
79570,1258
79570,79695
79570,41569
79570,68157
79570,50601
79570,2762
79570,95510
79570,6188
79570,2294
94515,1213
94515,480
94515,2028
94515,1193
94515,364
94515,6874
94515,293
94515,32
94515,2762
94515,593
137854,8783
137854,2018
137854,68954
137854,8970
137854,44191
137854,56367
137854,3546
137854,1209
137854,41569
137854,33493
11263,903
11263,50
11263,47
11263,3033
11263,1197
11263,6301
11263,44195
11263,33794
11263,750
11263,4011
47054,33794
47054,50
47054,2762
47054,32
47054,253
47054,1396
47054,7153
47054,1625
47054,5952
47054,6333
37161,2918
37161,33794
37161,3362
37161,3104
37161,2762
37161,1212
37161,5956
37161,1278
37161,356
37161,1358
90747,2268
90747,49272
90747,260
90747,1610
90747,1210
90747,1246
90747,110
90747,318
90747,527
90747,5952
127601,7438
127601,86332
127601,3949
127601,47610
127601,68237
127601,55820
127601,46723
127601,55765
127601,64957
127601,81845
39688,595
39688,4308
39688,63992
39688,6539
39688,551
39688,17
39688,4246
39688,1246
39688,1225
39688,7147
3293,111
3293,6380
3293,223
3293,3578
3293,1923
3293,3949
3293,457
3293,1732
3293,4848
3293,293
18760,46578
18760,111
18760,4979
18760,4973
18760,858
18760,1704
18760,47
18760,1961
18760,1193
18760,1258
35856,57669
35856,1193
35856,6440
35856,5464
35856,74458
35856,2542
35856,3996
35856,750
35856,1221
35856,4011
102653,2028
102653,293
102653,33794
102653,2716
102653,1259
102653,1197
102653,589
102653,2997
102653,1214
102653,4034
44617,27592
44617,4011
44617,3578
44617,42632
44617,63082
44617,4226
44617,72998
44617,40815
44617,74458
44617,2291
82532,50
82532,2918
82532,1358
82532,2762
82532,2858
82532,4034
82532,4022
82532,589
82532,150
82532,1266
81551,5603
81551,48516
81551,59018
81551,38886
