user,item
11,2005
11,3986
11,47
11,59615
11,5218
11,1127
11,4886
11,8961
11,2174
11,4370
14,7153
14,914
14,1198
14,1907
14,6539
14,4016
14,2424
14,919
14,1035
14,1028
18,1213
18,8873
18,63082
18,750
18,1244
18,296
18,48738
18,4235
18,2324
18,1193
25,597
25,1073
25,608
25,1923
25,1213
25,47
25,2762
25,1
25,1259
25,1270
31,8360
31,68954
31,81847
31,60040
31,6377
31,2628
31,34405
31,110102
31,7454
31,5882
35,4306
35,648
35,5952
35,3996
35,48516
35,8784
35,4963
35,2959
35,44191
35,33794
43,8961
43,2336
43,1580
43,1
43,4973
43,5952
43,3996
43,7153
43,4993
43,17
50,215
50,110
50,1198
50,6807
50,4226
50,293
50,527
50,4878
50,778
50,4993
58,4995
58,2571
58,3608
58,3160
58,5502
58,50
58,1185
58,3996
58,1584
58,2194
60,912
60,63082
60,2571
60,6539
60,72998
60,356
60,1223
60,5618
60,4973
60,30749
61,30810
61,1968
61,8641
61,6188
61,48780
61,4963
61,50
61,4979
61,2571
61,2959
65,5878
65,3949
65,2329
65,4014
65,527
65,2571
65,2858
65,4878
65,68954
65,2762
72,2918
72,3578
72,1527
72,1198
72,1097
72,608
72,50
72,1193
72,318
72,1270
77,1374
77,296
77,4993
77,1270
77,2571
77,1196
77,1210
77,1222
77,2019
77,1136
82,8464
82,4223
82,68157
82,4878
82,7361
82,55247
82,74458
82,72998
82,2028
82,50872
85,81845
85,91529
85,910
85,1907
85,594
85,588
85,951
85,2096
85,898
85,1269
90,4896
90,2628
90,2571
90,7153
90,5349
90,1198
90,1270
90,1721
90,780
90,736
91,40819
91,8376
91,8970
91,339
91,1073
91,6218
91,39
91,1784
91,1500
91,1288
96,81845
96,46976
96,66097
96,68157
96,78499
96,8665
96,5903
96,1527
96,50
96,56367
98,4226
98,260
98,78499
98,44191
98,293
98,4878
98,1527
98,2959
98,7153
98,4993
99,858
99,6016
99,1270
99,69122
99,57669
99,1089
99,50
99,2571
99,6807
99,4226
102,58559
102,7147
102,912
102,1198
102,7153
102,2858
102,356
102,1197
102,7361
102,50
116,2762
116,4226
116,1240
116,5903
116,36529
116,6
116,34162
116,593
116,5152
116,2502
121,1220
121,58803
121,1136
121,3535
121,44195
121,2329
121,2571
121,34162
121,3421
121,63131
124,2000
124,2987
124,3996
124,368
124,485
124,2542
124,454
124,377
124,733
124,1784
129,74458
129,2959
129,2918
129,8874
129,2502
129,1732
129,56715
129,4878
129,61024
129,1258
132,3418
132,1213
132,1961
132,6874
132,1198
132,2918
132,342
132,235
132,2571
132,47
133,55280
133,63082
133,6016
133,527
133,5618
133,4995
133,74458
133,81845
133,48394
133,46578
135,588
135,1408
135,4025
135,8360
135,4963
135,5989
135,457
135,318
135,364
135,1035
136,76093
136,5952
136,2918
136,2571
136,7153
136,364
136,318
136,1704
136,72998
136,4896
147,1682
147,1748
147,1276
147,111
147,3253
147,2918
147,1208
147,750
147,923
147,1197
152,8961
152,597
152,1265
152,7153
152,1682
152,318
152,2683
152,1
152,2571
152,356
154,593
154,36529
154,1617
154,5418
154,6953
154,48780
154,3996
154,318
154,2997
154,8949
155,47
155,2997
155,2692
155,1199
155,6377
155,1136
155,608
155,2959
155,318
155,4011
162,1148
162,70286
162,4011
162,32587
162,7090
162,3000
162,34405
162,2959
162,5952
162,79132
163,56367
163,1580
163,4963
163,60069
163,4878
163,44191
163,2329
163,296
163,2571
163,48516
168,2542
168,2395
168,1213
168,923
168,1
168,4973
168,1199
168,2571
168,50
168,2997
175,4226
175,1270
175,1617
175,3360
175,1276
175,1198
175,110
175,590
175,1704
175,1213
182,59315
182,3275
182,76251
182,77561
182,90746
182,68319
182,89840
182,53519
182,7502
182,4223
189,4886
189,2
189,6377
189,7153
189,2291
189,59315
189,6539
189,4306
189,45722
189,58559
190,296
190,356
190,1680
190,54286
190,1784
190,5377
190,60069
190,4993
190,7153
190,5952
201,34437
201,2997
201,924
201,1251
201,6711
201,903
201,5902
201,4973
201,27266
