director,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
nm0000005,0,0,0,0,2,1,0,17,2,0,1,1,1,3,0,0,1,0
nm0000019,0,0,0,0,2,0,0,9,2,0,0,0,0,1,0,0,0,0
nm0000033,1,2,0,0,3,7,0,15,0,5,2,0,16,9,0,29,1,0
nm0000036,0,0,0,0,8,0,0,1,1,0,0,0,0,3,0,0,1,0
nm0000037,0,0,0,0,3,0,1,0,0,0,0,3,0,3,0,0,0,0
nm0000040,1,1,0,0,1,3,0,8,0,2,1,0,1,3,2,2,5,0
nm0000041,6,5,0,0,1,2,0,17,2,3,0,0,1,0,0,4,4,0
nm0000045,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
nm0000059,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0
nm0000076,0,0,0,0,3,3,0,9,0,0,0,0,0,5,1,1,0,0
nm0000078,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2
nm0000080,0,0,0,0,1,2,1,8,0,3,0,0,4,1,0,3,1,0
nm0000095,0,1,0,0,39,6,0,23,4,0,0,1,3,15,1,3,1,0
nm0000108,5,2,0,1,2,2,0,4,2,0,0,0,0,3,2,2,1,0
nm0000110,3,1,0,0,2,1,0,7,1,0,1,0,2,4,1,3,1,0
nm0000114,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0
nm0000116,6,4,0,0,1,0,0,1,0,0,1,0,0,2,5,3,0,0
nm0000118,6,4,0,0,3,0,0,1,2,0,9,0,0,2,10,10,0,1
nm0000122,0,1,0,0,9,1,0,5,0,0,0,0,0,4,0,0,1,0
nm0000123,1,0,0,0,1,1,0,4,0,0,0,0,0,1,0,0,1,0
nm0000126,1,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2
nm0000127,0,0,0,0,4,1,0,2,0,0,12,0,6,1,0,10,0,0
nm0000134,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
