item,genres
1,Adventure|Animation|Children|Comedy|Fantasy
2,Adventure|Children|Fantasy
3,Comedy|Romance
4,Comedy|Drama|Romance
5,Comedy
6,Action|Crime|Thriller
7,Comedy|Romance
8,Adventure|Children
9,Action
10,Action|Adventure|Thriller
11,Comedy|Drama|Romance
12,Comedy|Horror
13,Adventure|Animation|Children
14,Drama
15,Action|Adventure|Romance
16,Crime|Drama
17,Drama|Romance
18,Comedy
19,Comedy
20,Action|Comedy|Crime|Drama|Thriller
21,Comedy|Crime|Thriller
22,Crime|Drama|Horror|Mystery|Thriller
23,Action|Crime|Thriller
24,Drama|Sci-Fi
25,Drama|Romance
26,Drama
27,Children|Drama
28,Drama|Romance
29,Adventure|Drama|Fantasy|Mystery|Sci-Fi
30,Crime|Drama
31,Drama
32,Mystery|Sci-Fi|Thriller
34,Children|Drama
36,Crime|Drama
39,Comedy|Romance
41,Drama|War
42,Action|Crime|Drama
43,Drama
44,Action|Adventure|Fantasy
45,Comedy|Drama|Thriller
46,Drama|Romance
47,Mystery|Thriller
48,Animation|Children|Drama|Musical|Romance
50,Crime|Mystery|Thriller
52,Comedy|Drama|Romance
57,Drama
58,Comedy|Drama|Romance
60,Adventure|Children|Fantasy
61,Drama|Thriller
62,Drama
63,Comedy|Crime
65,Comedy
69,Comedy
70,Action|Comedy|Horror|Thriller
72,Comedy|Drama
73,Drama|War
74,Drama|Romance
76,Action|Sci-Fi|Thriller
78,Action|Crime|Drama|Thriller
79,Drama|Thriller
80,Children|Drama
81,Crime|Drama|Romance
82,Comedy|Drama
85,Drama|Romance
86,Action|Adventure|Drama
88,Comedy
89,Action|Thriller
92,Drama|Horror|Thriller
94,Comedy|Drama|Romance
95,Action|Adventure|Thriller
97,Crime|Drama
100,Drama|Thriller
101,Adventure|Comedy|Crime|Romance
104,Comedy
105,Drama|Romance
107,Adventure|Children|Comedy|Musical
110,Action|Drama|War
111,Crime|Drama|Thriller
112,Action|Adventure|Comedy|Crime
116,Documentary
117,Crime|Drama
122,Comedy|Romance
123,Drama|Mystery|Romance
125,Comedy
126,Adventure|Children|Fantasy
135,Comedy
140,Drama|Romance
141,Comedy
144,Comedy
145,Action|Comedy|Crime|Drama|Thriller
147,Drama
149,Crime|Drama|Thriller
150,Adventure|Drama
151,Action|Drama|Romance|War
153,Action|Adventure|Comedy|Crime
154,Drama
156,Comedy|Drama
157,Comedy|War
158,Adventure|Children
159,Crime|Drama|Mystery
160,Action|Adventure|Mystery|Sci-Fi
161,Drama|Thriller|War
162,Documentary
163,Action|Romance|Western
164,Crime|Film-Noir|Mystery|Thriller
165,Action|Crime|Thriller
166,Comedy|Crime|Drama
168,Action|Drama|Romance
169,Adventure|Children|Drama
170,Action|Adventure|Crime|Thriller
171,Comedy|Drama
172,Action|Sci-Fi|Thriller
173,Action|Crime|Sci-Fi
175,Drama
176,Comedy
177,Horror
180,Comedy|Romance
181,Action|Children
185,Action|Crime|Thriller
186,Comedy|Romance
187,Comedy
188,Fantasy|Horror|Mystery
190,Thriller
191,Drama|Romance
193,Drama
194,Comedy|Drama
195,Comedy|Drama|Romance
196,Horror|Sci-Fi
198,Action|Crime|Drama|Mystery|Sci-Fi|Thriller
