user,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
11,167,133,50,53,99,33,5,112,67,2,58,11,25,44,176,130,12,1
14,23,58,40,57,106,9,0,66,34,0,0,22,6,55,23,10,5,4
18,3,3,1,1,28,20,1,62,3,1,2,2,7,25,2,9,9,4
25,22,21,5,9,40,21,0,41,14,0,6,2,5,17,8,16,5,1
31,92,94,32,44,49,12,2,24,47,0,7,0,9,10,49,36,5,6
35,69,48,13,12,60,48,0,90,26,2,15,10,16,25,24,62,9,3
43,18,15,4,5,23,6,0,33,5,1,0,2,4,24,8,13,2,0
50,18,18,6,5,29,12,0,56,18,0,4,2,6,25,13,16,5,1
58,67,51,8,17,117,47,4,197,32,2,8,7,28,75,38,61,23,7
60,10,26,5,8,13,8,3,25,17,0,1,3,4,6,3,8,3,1
61,20,23,4,3,57,19,3,60,16,0,8,2,8,29,13,30,0,1
65,9,10,6,6,13,9,2,35,6,0,4,4,5,14,13,14,4,0
72,16,9,0,2,32,10,0,32,7,0,2,3,2,15,11,15,4,2
77,22,21,8,6,13,7,0,28,12,0,11,4,4,1,22,15,6,1
82,55,31,16,17,51,56,12,129,20,3,6,3,21,24,14,60,20,1
85,10,16,11,15,22,9,1,30,13,0,0,12,7,16,2,9,4,2
90,31,37,10,11,32,12,0,26,12,0,5,5,3,9,19,22,2,2
91,22,20,5,5,67,18,1,74,13,0,1,8,11,37,6,27,8,4
96,101,88,35,35,95,71,1,127,40,4,8,10,34,36,58,78,12,10
98,28,28,8,6,12,11,0,31,15,0,4,1,8,8,21,19,3,1
99,10,5,3,3,24,20,0,19,3,1,4,0,8,5,9,14,4,0
102,20,12,1,2,28,18,0,36,9,1,3,2,10,14,16,19,4,5
116,85,44,7,8,69,52,2,84,13,2,18,2,18,15,33,64,22,3
121,24,16,1,4,41,21,1,25,4,0,0,0,1,7,12,17,3,2
124,73,44,8,9,74,52,0,74,15,3,7,4,25,46,33,78,3,3
129,6,22,13,18,57,12,5,49,17,0,14,8,8,21,6,22,2,0
132,26,32,8,16,95,49,1,120,25,3,21,12,24,37,22,51,4,0
133,43,28,21,22,66,65,12,151,28,7,5,10,34,55,23,62,15,1
135,22,33,16,29,34,5,1,41,20,0,1,12,3,28,9,8,9,2
136,31,40,18,21,31,11,0,28,22,1,4,9,8,13,24,18,4,1
147,44,40,8,10,72,34,2,65,24,1,8,9,14,31,27,37,5,7
152,29,28,9,13,44,19,2,46,16,1,6,6,7,20,18,24,4,0
154,48,29,3,2,66,52,4,85,9,1,7,2,25,27,18,68,5,2
155,14,17,4,4,15,10,1,18,8,1,4,1,8,5,15,15,0,0
162,50,39,12,7,38,23,2,47,19,2,5,2,14,12,31,30,11,4
163,17,10,5,4,13,17,0,24,2,1,2,1,11,8,14,17,3,1
168,14,18,9,8,43,31,0,46,13,5,8,1,19,17,15,40,3,0
175,13,8,2,4,22,18,0,34,6,2,2,1,6,15,2,17,3,1
182,38,14,1,0,10,11,0,19,6,1,4,0,2,2,13,22,6,1
189,39,47,21,27,60,15,0,48,33,0,14,13,12,27,30,37,7,1
190,25,28,5,5,27,14,1,45,8,0,1,3,9,19,20,13,2,1
201,10,7,6,1,14,18,2,64,11,3,2,5,15,21,10,22,4,0
204,14,25,16,16,33,7,0,17,20,1,2,5,8,10,18,16,1,0
205,28,25,3,4,29,28,2,41,10,1,1,0,10,16,17,30,4,0
206,40,20,2,4,63,23,0,39,12,0,1,6,5,55,12,34,1,1
208,39,33,21,19,123,60,38,223,19,9,8,19,24,76,30,70,10,4
209,7,7,2,2,14,10,4,30,1,0,0,1,3,7,0,9,6,0
211,25,21,7,8,16,8,0,22,8,0,3,4,5,9,12,15,4,0
213,9,20,7,11,25,9,0,48,14,0,0,4,3,16,7,7,4,1
215,37,34,11,2,100,32,3,95,17,6,8,5,19,39,29,41,2,2
218,41,14,2,0,51,70,5,101,5,3,2,0,16,23,10,69,10,0
220,11,11,1,1,22,12,4,31,1,0,2,1,4,5,10,14,2,1
232,49,39,9,9,31,25,0,41,16,1,8,6,10,18,26,31,2,1
237,47,44,13,13,54,38,2,116,19,4,7,3,16,36,26,42,22,4
239,67,111,96,116,117,19,0,70,85,1,3,41,3,62,40,24,3,2
241,28,26,26,9,38,25,3,66,28,1,7,0,12,19,30,28,13,3
248,38,21,11,8,26,43,1,123,10,6,1,1,24,45,15,51,17,9
252,15,14,0,1,12,20,1,43,5,4,4,0,14,9,9,23,4,2
254,31,21,4,2,28,27,2,50,7,1,2,4,13,15,22,31,5,1
258,145,107,22,33,105,57,0,81,38,0,7,5,9,33,46,88,21,6
