user,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
11,0,0,0,0,0,0,0,0,2,0,2,0,2,1,2,5,19,24,42,75,117,85,0,0
14,0,0,0,0,0,2,1,4,5,2,8,2,8,7,2,4,14,10,30,26,36,19,0,0
18,0,0,0,0,0,0,0,0,0,0,2,0,1,5,5,1,2,1,8,9,21,22,0,0
25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6,7,14,26,22,11,3,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,2,56,59,32,0
35,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,2,2,4,12,24,67,56,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,7,18,23,5,0,0
50,0,0,0,0,0,0,0,0,3,0,1,1,0,1,1,5,3,5,14,22,27,4,0,0
58,0,0,0,0,0,0,1,1,1,1,3,3,4,5,4,11,31,43,72,75,61,2,0,0
60,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,1,2,9,7,12,11,3,0
61,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,3,10,22,41,35,0,0
65,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,1,7,10,15,13,2,0
72,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,7,7,8,15,17,4,0,0,0
77,0,0,0,0,1,1,0,0,2,0,2,0,4,3,6,5,13,5,4,7,8,4,0,0
82,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,3,3,6,7,32,50,65,34,0
85,0,0,0,0,0,0,1,2,4,0,8,2,6,1,3,4,1,4,1,6,9,4,5,0
90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,4,5,17,23,21,6,0,0
91,0,0,0,0,0,0,0,0,0,0,0,2,3,2,2,2,3,13,20,35,45,9,0,0
96,0,0,0,0,0,0,0,0,2,0,0,1,3,1,2,2,8,11,20,27,70,77,53,0
98,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5,2,2,12,15,15,17,0
99,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,0,5,4,9,10,11,0,0
102,0,0,0,0,0,0,0,2,0,1,2,2,7,1,2,3,5,8,5,13,13,7,1,0
116,0,0,0,0,0,0,1,0,0,0,1,0,2,0,2,6,12,12,36,41,73,13,0,0
121,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,2,3,6,15,12,23,3,0
124,0,0,0,0,0,0,0,0,2,0,0,1,0,0,3,5,6,14,35,79,41,3,0,0
129,0,0,0,0,0,0,0,1,0,0,1,0,1,0,3,1,0,4,6,10,26,39,11,0
