writer,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
nm0000005,0,0,0,0,2,0,0,16,2,0,1,1,1,3,0,0,1,0
nm0000019,0,0,0,0,2,0,0,10,2,0,0,0,0,1,0,0,1,0
nm0000033,0,0,0,0,0,1,0,3,0,1,0,0,1,1,0,4,1,0
nm0000036,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,1,0
nm0000040,0,1,0,0,1,3,0,7,0,2,1,0,1,2,2,2,4,0
nm0000041,9,7,0,0,1,3,0,19,2,3,0,0,1,0,0,6,4,2
nm0000045,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
nm0000059,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0
nm0000076,0,0,0,0,3,4,0,10,0,0,0,0,0,6,1,1,0,0
nm0000080,0,0,0,0,2,3,1,8,0,4,0,0,5,1,0,4,1,0
nm0000092,0,2,1,0,9,1,0,0,1,0,0,0,0,0,0,0,0,0
nm0000095,1,2,0,0,42,6,0,23,4,0,0,1,3,16,1,3,1,0
nm0000100,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
nm0000101,3,0,0,0,7,1,0,1,1,0,0,2,0,0,3,0,0,0
nm0000108,25,4,0,1,8,14,0,10,2,0,0,0,0,3,5,13,1,1
nm0000110,1,0,0,0,1,1,0,2,0,0,0,0,0,3,0,0,1,0
nm0000114,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
nm0000116,8,5,0,0,1,1,0,2,0,0,1,0,1,2,6,5,0,0
nm0000118,7,2,0,0,1,1,0,1,1,0,11,0,1,0,7,12,0,0
nm0000120,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
nm0000122,0,1,0,0,9,1,0,6,0,0,0,0,0,4,0,0,1,0
nm0000123,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0
